navn,tlf
C.F. MØLLER DANMARK A/S AALBORG,96329797
CERIMAGIC STUDIO IVS,53587879
CHERIES V/CHERIE ANDERSEN,61337222
CHR PEDERSENS TEGNESTUE AALBORG APS,98121200
CITYPEOPLE,66122186
COOLEST ABIDING WALLPAPER OUTLOOK IVS,26393734
DANISH DECORATION SHIP INTERIOR CONSULTING APS,30680976
DANISH SHIP DECOR A/S,99337203
DECORA,50229703
DIMENSION DESIGN APS,24219181
ELECTROTEXTURE LAB. APS,40477374
ERIK ARKITEKTER A/S,89992257
FÆRGEN PLAGEN I/S,61285604
FELDAGER STUDIOS,21582272
FENGSHUI BY OLSEN,98110612
FREECREATE APS,81655565
FRIIS & MOLTKE A/S,72100052
GADEPLAN APS,20487663
GLØD,20930408
GRAVITY STUDIO,22933437
HENNING BECH FLYGER DRONNING- LUND APS,98841811
HENRIK HANSEN,98172956
HJ BUSINESS IVS,26278704
HJERTERUM,61654143
HOJARK IVS,29805556
INKLU TECH DESIGN,42612293
INLIVING,60246414
INOSITE,28294141
IRINA SOL TEGNESTUE,24611115
JACOBSENS TEGNESTUE APS,24477635
JENSEN CONSULT APS,98587555
JØRN GARDE ARKITEKTKONTOR,96373030
KARAKTER ARKITEKTUR APS,28498039
KM CONSULTING V/KENNY MAHLER,29332965
KONSULENT TOVE KOCH,98166075
KORSGAARD-CONSTRUCTIONS,24401393
KREATIV BOLIG V/SISSE RAUN LAGE,29787573
LANDSKABSARKITEKT SØREN B BØGESKOV,98146600
LARS MILLING IVS,20664095
LARSEN & DANIELSEN ARKITEKT-OG BYGGEFIRMA APS,98293810
LENE BREMER,51344435
LIFE+DESIGN,61704207
LINDVALD BYGGERÅDGIVNING,42564240
LINNEMANN INVEST APS,98171529
LIVING - ZANZ,20841400
LOLHOLM PROJEKTRÅDGIVNING,40520934
LOMBORG ET LOMBORG - ARKITEKTER,20991660
LU-ARK,50690550
LUCAS APS,98383900
M2PLUS APS,61613131
MANGT / LACARRIERE,29407179
MAW LIVING,29720949
MIMI TRUE STUDIO,30233276
MOGENS RUNE,51256843
N+P ARKITEKTUR APS,96350011
NADJA HELENA DAHER / INDRETNINGSKONSULENT,93850564
NAVA ARKITEKTUR,50232016
NO57 APS,98355757
NORCONSULT - KAAI A/S,44882000
NORDEV APS,22180033
OPLEVELSESDESIGN,26820941
OPSTRUP APS,60213300
ØSTERGAARD ARKITEKTER AALBORG APS,98126400
PAD STUDIO,28340582
PLUSARKITEKTER APS,27744410
PROJEKTUDVIKLING BYGHERRERÅDGIVNING V/ KAJ BØGH JENSEN ARKITEKT MAA,40466377
PRYD,41770676
PURE VISUALSNOB REVOLUTION,26393734
RÅDGIVENDE ARKITEKTFIRMA V/BJARNE LYNGHOLM ANDERSEN,98294266
RAMBØLL ARKITEKTER A/S,51611000
REBILD ARKITEKTERNE APS,98371525
REDMONDS TEGNESTUE V/CARL REDMOND,98666618
RIISE CREATIV APS,53652023
RISOM CONSULTING V/ALEXANDER RISOM,20643303
ROOMSCAPES IVS,51809200
ROSSEELS TEGNESTUE APS AALBORG,28402744
ROYALBLUE V/ KIT SØRENSEN,61337055
RUMSANS,28598917
SOMMERLUND,26377749
SØREN HØJBJERG,40999058
STERNKOPF CONSULT & DEVELOPMENT,31666140
SVAVARSSON MANAGEMENT IVS,60523855
TAJN ARKITEKTER IVS,40738271
TEGNESTUEN ANDERSEN OG ROSENDAL ARKITEKT MAA K/S,98104248
TEGNESTUEN ANDERSEN OG ROSENDAL. ARKITEKT MAA K/S,98104248
TEGNESTUEN LARS BJØRN,29828882
TEGNESTUEN MONDI,25218190
TEGNESTUEN V/STEEN TRANT,98137304
TEKNIKERGRUPPEN NORD APS,98174647
THOMASNOAHDK - NYPLAN.NU,31375400
TINE HUNDRUP APS,48101322
TINNA ENGQVIST IVS,22956623
TURNKEY CLINICS APS,29909555
UDSIGT & INDSIGT,40940263
VINTAGEKRAM,51316022
WAWW,61659000
WICHMANN LYNGESEN ARKITEKTUR OG BYGGERÅDGIVNING APS,51882607
Y-OUR HOME APS,26835711
ZSELI 95,42778634
ABILGAARD-JENSEN HOLDING IVS,24451963
BILXTRA V/RENE LEMVIGHT NIELSEN,98136644
CLASSIC OIL & MODEL CARS V/JENS A CHRISTENSEN,98259810
DET LILLE VÆRKSTED V/OLE CLEMMENSEN,20745077
FUTTRUP SALG & SERVICE APS,24405024
HALS DÆK OG AUTODELE,40303923
HUSE GRACANIN AUTO V/HUSE GRACANIN,50908163
LEIF SØGAARD SIMONSEN,98294500
MANSORY.DK,40314142
PEDERSEN & NIELSEN AUTOMOBILFORRETNING A/S,86422511
PIA VINFELDT HANSEN,98253829
PITPARTS V/RONNIE BØHNKE,98319588
REFAKO APS,66125575
SANCO APS,70255182
SCHMIDT V/JAN SCHMIDT,26134858
SULSTED VOGNMANDSFORRETNING APS,98260000
T. HANSEN GRUPPEN A/S,31313131
T. HANSEN GRUPPEN A/S HØYER AUTODELE,70101056
T. HANSEN GRUPPEN A/S KROGSLUND AUTODELE,31313131
T.HANSEN GRUPPEN A/S,31313131
THORDEN,86230773
VESTER HASSING DÆKCENTER,31315827
AUTOSPECIALISTEN-AALBORG APS,42331073
BACKHAUSEN A/S - QARS AALBORG SYD,70227418
BOUET´S AUTO- & INDUSTRILAKERING APS,98190333
BØGSTED A/S,98134022
BULEJAN APS,98250399
DENCKER & SØNNER AALBORG APS,98126544
GODTHÅB AUTOLAKERING APS,98381377
J. B. COATING V/ JENS BECH,98316206
JKN AUTO-VÆRKSTED / GENOPBYG,20955384
KC AUTOLAKERING APS,78771406
NIBE AUTOLAK APS,98351003
PIERRE.DK AALBORG S,75526555
RØRDAL BILPLEJE I/S,61608336
SKALBORG NY AUTOLAKERING A/S,98181902
SPOT-ON  V/ LØWENECK,25335802
SUNDSHOLMENS AUTOLAKERING APS,98173870
VOGNMAND ULRICH VANGSØ,98180918
AALBORG AUTOOPHUG APS,20402464
AALBORG VOGNAMNDSFORRETNING A/S - ENGHOLMEN 2,70253511
ADELBORG BYG APS,25267588
CP TROMLER,22941617
DFG 2018 A/S,70202005
GEMINOR DK HUB NORTH,53860019
GREVLUND,60607214
H.J. HANSEN GENVINDINGSINDUSTRI A/S AALBORG,63109100
HALS METAL A/S,98251984
IF RECYCLING A/S,98935920
MARIUS PEDERSEN A/S,98176811
NIBE PRODUKTFORRETNING V/ERIK DAHL,98351854
NORDISK COMPUTER RECYCLING APS,98176600
NORDJYSK AUTOOPHUG A/S,98176144
RAGN-SELLS DANMARK A/S,70702555
RGS NORDIC A/S RØRDALSVEJ 246,88779000
RGS NORDIC A/S RØRDALSVEJ 248,88779000
RGS NORDIC A/S SAVANNEVEJ,88779000
STENA RECYCLING A/S,56679200
STENDE ECO APS,52167952
TEGLGAARDEN HOSTRUP A/S,98296300
UNISCRAP A/S AALBORG AFD,98121533
A G BILER V/AKSEL GREGERSEN,98122545
A-M AUTO V/PETER CHRISTENSEN,32162695
A-SERVICE,98316718
AALBORG AUTOSERVICE APS,98314277
AALBORG BILPLEJECENTER APS,98123333
AALBORG KVIKCENTER APS,98131444
AALBORG LASTVOGNSCENTER APS,41613068
ACS V/KURT THUESEN KNØSS,98262566
ADVANCED ELECTRONICS REPAIR V/DAVID PEDERSEN,71124816
AH AUTOSERVICE & REPARATION,26589383
AKO-AUTO,28565460
ANDERS FJORDBACH MOTORSPORT APS,24945157
ARRIVA DANMARK A/S,72302500
ARRIVA SERVICE A/S,72302500
AU2TAL V/BJARNE HUUS JENSEN,40270193
AUTO 85 V/JESPER ANDERSEN,98314948
AUTO IVS,29903834
AUTOGLASMANDEN A/S,87800810
AUTOMEKANIKER KARL PETER SØRENSEN,98171420
AUTOMEKANIKER SØREN HØJER JENSEN,98255002
AUTOMESTER SØRENSEN V/TORBEN HORNSKOV SØRENSEN,98686068
AUTOREPARATION V/KARSTEN KROGH JENSEN,98261446
AUTOVÆRKSTEDET V/JAN HANSEN,98193938
AUTOVÆRKSTEDET V/LINDBLAD LARSEN,98132191
BARMER AUTOCENTER V/SVEND LUND DAMGAARD,98355333
BC AUTO V/BO MOHR CHRISTENSEN,30314467
BILENS VÆRKSTED AALBORG APS,98186344
BMS A/S,44949048
BOELTS CAR CARE,60537910
BØGSTED AUTO,98259090
BØJLUNDS AUTO REPARATION V/SØREN BØJLUND ANDERSEN,98271267
BRDR. DAVIDSENS RUTE- OG TURISTSERVICE A/S,98341900
BRDR. HOSBOND A/S FORST AFD.,98925833
BRØNDUM AUTOSERVICE APS,96860906
BUDOWA DANMARK,82820882
BYENS BILPLEJE AALBORG APS,70101440
BYENS BILPLEJE ÅLBORG APS,70101440
CARTEC BILPLEJE/AUTOREP V/FLEMMING ROY LINDEMANN,98184411
CENTER AUTO APS,98167600
CENTRAL CAR WASH APS,22994071
CH AUTO V/ CASPER RØGILDS HENRIKSEN,98310500
CLASSIC CAR SERVICE APS,28192248
CVN AUTO,22144653
CYKELVÆRKSTED OG BILVASK - ULSTED,53147978
DANCRIS,42736977
DANSK BILGLAS A/S V/ OLAV MØLBJERG LARSEN,98145755
DANTEK BILPLEJE APS,96775050
EDEN CAR CARE,50105509
EJENDOMSSELSKABET STENHOLM 3 APS,98173266
EL-SOUSSI AUTO AHMAD FAWAZ EL-SOUSSI,98193131
ELIS BILPLEJE APS,22778852
ELITEX APS,20402464
ERIK MAIBOM A/S,96316400
ERIKSENS GULVSERVICE V/MARTIN ERIKSEN,20418295
FALCH AUTO APS,22531188
FARSTRUP AUTO APS,98686068
FARVERGÅRDENS AUTOSERVICE APS AALBORG,98127124
FHF AUTO V/FREDERIK HANSEN,96370303
FLEMMING SØRENSEN,98261348
FREJLEV AUTO V/ JACOB KVIST,30345096
FREJLEV BILPLEJE,98343576
GRINDSTED AUTOVÆRKSTED APS,98286145
GYNTZEL BILPLEJE,28297028
HANDIMOBIL A/S,87314600
HC AUTOHJÆLP NORDJYLLAND A/S,98191833
HIMMERLANDS BILPLEJE V/JESPER BOEL PILMAN,30222568
HJ AUTO V/HENRIK JØRGENSEN,23269129
HJULGAARDENS AUTO & SERVICE,26374480
HOLMENSAUTO V/OLE RENÉ RIISAGER,98382222
HONDA - SAAB SPECIALISTEN V/JAN H MADSEN,98186645
HORNUM BIL POLERING,61390908
HRISTOU,22667005
I/S RENDBÆKGAARD,98357034
INDKILDE AUTO A/S,96349000
J C BILER IVS,50528200
J. BLOCH AUTO APS,40508284
J.P AUTO V/JAN ARENT PEDERSEN,98686145
JAN HJORTH,96719191
JB AUTOCON V/JØRGEN NICOLAJ BERTHELSEN,61659661
JBK V/JIMMY BERSANG,26723203
JIMMI RANDRUP AUTO,28183211
JOKL HANDEL APS,42793333
JRG TEKNIK OG RÅDGIVNING,30950528
JUNIOR MC,51946169
K M HANSEN AUTO V/KENNETH MØLLER HANSEN,98314685
KETNER A/S,98120911
KETNER AALBORG,70807359
KJ AUTOTEKNIK V/KRISTIAN JENSEN,60180596
KLARUP AUTOSERVICE APS,98318150
KOCHS AUTO V/JACOB KOCH,98272747
KONGERSLEV AUTO APS,98331211
KROGENS AUTO I/S,98256779
KS WORKSHOP V/KASPER STEENFELDT,25595333
KVIKCENTER AALBORG APS,98131444
LANDMAND PER BAK NIELSEN,98310108
LASTVOGN & TRAILER CENTER NØRRESUNDBY A/S,98174300
LEDET V/MADS LEDET JENSEN,29659633
LK-PLEJE,91842416
M HANSEN SERVICE IVS,53637574
M.L.S BILPLEJE CENTER V/RAJHMOHAN K.,28510407
MAC MOTORSPORT APS,40582033
MALERVÆRKSTED HJULMAGERVEJ 16,96349000
MC BIL BÅD V/ LARS ERIKSEN,98103745
MEKANIKER IWAN BONDERUP,98382824
MEKANIKER RALF KNUDSEN,98251651
MIDTBYENS AUTO V/JENS ALFRED JØRGENSEN,98177924
MJ AUTOTEKNIK,22797840
MK PRIVATE SALE AND RENT,88271770
MM-MASKINER,61165064
MN AUTO V/MIKKEL NØDSKOV,28144335
MOU AUTOVÆRKSTED V/HENNING FLOU,98311145
MOUSA MOTOR,91610816
MØLLENS AUTO CENTER APS,40582033
MS HANDEL APS,98262727
NEFO AUTO APS,27733370
NFT FLYT APS,25710313
NIC-TEC APS,22915634
NICKS MULTISERVICE,42600281
NORDJYSK AUTOTEKNIK NØRRESUNDBY APS,98173036
NORDJYSK BILPLEJE V/DENNIS LINDSTRØM,98160170
NØVLING AUTOVÆRKSTED V/SØREN HUSE,98314911
NYGRÆS,25373471
OESTERGAARD SMEDE & MONTAGE,22247444
OLE RASK VOGNMANDSFORRETNING,98666621
ØSTER HASSING BILPLEJE,22426293
ØSTERPORT AUTO A/S,96349090
P. J. AUTO VADUM APS,98272000
P.A BUDSERVICE V/PEER ANDERSEN,98331757
P.E.TRANSMISSION V/P E CHRISTENSEN,26197676
P.H.AUTO V/PETER HJORT NIELSEN,98353507
PANTER AUTO V/PETER ENGEMANN,98185519
PK AUTO- OG KAROSSERIVÆRKSTED V/PETER KRAGKÆR,98791022
PORSKROG AUTO APS,31313092
PREBEN SØRENSEN,98261730
PRIMA BILER V/FLEMMING LARSEN,98291160
PROFART V/HENRIK MARTIN DAVIDSEN,40714891
QUICKPOINT A/S 9000 AALBORG,89281410
QUICKPOINT A/S 9400 NØRRESUNDBY,98192444
RISE AUTO,61672683
RJ AUTO & BILSALG APS,40873185
RTT RADIOTELEFONTEKNIK A/S AALBORG,86241455
SAGA AUTOREPARATION V/SAGA AUTO APS,98193000
SALTMØLLEN,60656443
SCOOTERLAND AALBORG APS,98189964
SG AUTO V/STEFFAN GRØNHØJ,29913936
SH AUTO V/STEFFEN BUNDGAARD HANSEN,25472753
SKALBORG UNDERVOGNSCENTER APS,98185854
SKILLINGBRO A/S,98384999
SKOVGAARDS AUTO V/DION SKOVGAARD JENSEN,20614391
SKYTTES BILPLEJE,81717999
SLAVA,51559189
SOLFILM PLUS+,81741012
SØRENS AUTO V/SØREN KNUDSEN,98666193
SR GROUP,20187377
STØVING FIX OG FUSK,61133361
SUDERGAARDS AUTOSERVICE V/MORTEN SUDERGAARD,98286432
SULSTED AUTOTEKNIK APS,21780644
SUPER BILPLEJE,53621953
T T BILER V/TORBEN RASMUSSEN,98272121
TOMMY FRANK,22740978
TS EJENDOMME APS,29647650
TVS BILER,61133361
TYPHOON BLOKHUS APS,22219998
UDHOLM FROST APS,98331104
UGGERHALNE AUTO V/SØREN JENSEN,98286133
UJH MASKINSERVICE V/ULRIK HANSEN,51495201
ULSTED AUTOVÆRKSTED,98254411
VADS SERVICE V/OLE VAD,22311435
VAG PARTS,22339970
VAGPARTS APS,22339970
VEJGAARD AUTO,98168511
VEJGAARD KLARGØRING,42448402
VENDSYSSEL TRAILER SERVICE A/S,98192855
VILSEN BILER A/S,98173266
YDES AUTO V/SVEND-ERIK PEDERSEN,98317014
ZF DANMARK,43436243
HALS BÅDCENTER APS,98250082
LUNDE BÅT AS,96776000
NORDJYDSK HANDELSKOMPAGNI/ KLARUP BÅDE-YAMACENTER NORD V/PETER ABILDGAARD,98318766
RIBBOATS DANMARK APS,24762376
26180538,42575345
BAGERI,71463698
BAUNS BAGERI APS,98126135
BYENS BRØD OG KAGER,98171454
DEN GYLDNE KRINGLE V/PETER NIELSEN,98172531
DEN GYLDNE KRINGLE NR. UTTRUP TORV,98172531
DONUT HOUSE AALBORG,29900415
FAUNØ DFL FOOD APS,40311931
FRU RONNE,91529595
GISTRUP BAGERI APS,98314043
GULDBAGEREN VESTBYEN V/BENNY PREBEN ANDERSEN,98125355
HANSEN V/ANDERS HANSEN,96330108
HASSERIS BAGERI,98900930
KONDITORBAGER GUGVEJ,98780077
LA BONTA AALBORG,98102524
LA BONTA IVS,88341999
PILGAARDS BAGERI APS,98171153
ROLLIN SWEETS,42480864
SKALBORG BAGERI,98180025
SKALBORG BAGERI V/JAN JAKOBSEN,98180025
A/S ARBEJDERNES LANDSBANK,38483080
AALBORG BUDOLFI PLADS AFDELING,82229010
AALBORG SYD,82229200
AALBORG VEST AFDELING,82229000
AALBORG ETERNITTEN JUTLANDER BANK A/S,96575800
ALM. BRAND BANK,96301200
AMAGERBROGADE 25,76978000
CITY SYD JUTLANDER BANK A/S,70158000
DANSKE BANK A/S,99356500
DANSKE BANK A/S HASSERIS AFD.,96341080
DRONNINGLUND SPAREKASE AALBORG AFD.,96310722
HALS AFDELING,82229000
HANDELSBANKEN AALBORG,96313388
HANDELSBANKEN AALBORG SYD,44565700
JYSKE BANK A/S AALBORG,89898989
JYSKE BANK A/S AALBORG HASSERIS,89898989
JYSKE BANK A/S AALBORG NYTORV,89898989
JYSKE BANK A/S AALBORG VEJGAARD,89898989
LÅN & SPAR BANK A/S RÅDGIVNINGSCENTER AALBORG,99364400
MERKUR ANDELSKASSE,70272706
NIBE AFDELING JUTLANDER BANK A/S,98350066
NORDEA DANMARK FILIAL AF NORDEA BANK ABP FINLAND,70333333
NORDJYSKE BANK A/S,98703333
NYKREDIT BANK A/S,70109000
NYTORV AFDELING JUTLANDER BANK A/S,98770888
SPAR NORD,96344000
